RoadID,RoadName,CountyID,TownName,RoadClass,RoadClassName,Version,UpdateDate
600462A,朱崙街,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600463A,杏林一路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600464A,杏林二路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600465A,杏林三路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600466A,杭州北路,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600467A,杭州南路一段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600468A,杭州南路二段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600472A,東寧路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600473A,東山路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600474A,東新街,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600475A,東昇路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600477A,東湖路,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600478A,東興路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600479A,東華街一段,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600480A,東華街二段,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600481A,東豐街,A,大安區,6,市區一般道路,23.05.1,2018-09-28
600483A,松仁路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600484A,松信路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600485A,松勇路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600487A,松壽路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600488A,松山路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600489A,松平路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600490A,松廉路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600491A,松德路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600492A,松智路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600493A,松江路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600495A,松隆路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600496A,松高路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600497A,林口街,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600498A,林森北路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600499A,林森南路,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600501A,格致路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600502A,桂林路,A,萬華區,6,市區一般道路,23.05.1,2018-09-28
600505A,植福路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600506A,榮華一路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600507A,榮華二路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600508A,榮華三路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
